date,code,open,high,low,close,volume,amount,pctChg
2023-01-03,sh.600028,4.3800,4.4100,4.3500,4.4000,85476673,374524391.3500,0.917400
2023-01-04,sh.600028,4.3900,4.4300,4.3700,4.4100,84898211,373568797.1200,0.227300
2023-01-05,sh.600028,4.4000,4.4300,4.3800,4.3900,86407162,379844528.9200,-0.453500
2023-01-06,sh.600028,4.3900,4.4000,4.3400,4.3800,107204520,467445056.2100,-0.227800
2023-01-09,sh.600028,4.3800,4.4000,4.3700,4.3800,64295365,281711094.5500,0.000000
2023-01-10,sh.600028,4.3800,4.3900,4.3600,4.3700,54014563,236308571.2100,-0.228300
2023-01-11,sh.600028,4.3700,4.4300,4.3600,4.4100,97370733,428350942.5000,0.915300
2023-01-12,sh.600028,4.4300,4.4500,4.4000,4.4400,63917725,283079177.0900,0.680300
2023-01-13,sh.600028,4.4500,4.4800,4.4200,4.4500,81731541,363295709.5600,0.225200
2023-01-16,sh.600028,4.4500,4.4900,4.4200,4.4700,105724025,471108486.5600,0.449400
2023-01-17,sh.600028,4.4700,4.4800,4.4100,4.4500,110430363,489473072.3200,-0.447400
2023-01-18,sh.600028,4.4500,4.4800,4.4400,4.4700,71873259,320719583.7400,0.449400
2023-01-19,sh.600028,4.4600,4.5000,4.4500,4.4900,73744947,330286444.5200,0.447400
2023-01-20,sh.600028,4.5100,4.5900,4.4900,4.5400,112638099,511018515.6500,1.113600
2023-01-30,sh.600028,4.5700,4.5900,4.5100,4.5200,135756787,617364732.7400,-0.440500
2023-01-31,sh.600028,4.5300,4.5500,4.5100,4.5200,84142039,381523201.2500,0.000000
2023-02-01,sh.600028,4.5300,4.5400,4.4900,4.5200,110185914,497561780.7500,0.000000
2023-02-02,sh.600028,4.5200,4.5500,4.4800,4.5200,105653441,476941754.1600,0.000000
2023-02-03,sh.600028,4.5100,4.5200,4.4700,4.4700,85192889,382252107.6300,-1.106200
2023-02-06,sh.600028,4.4600,4.5000,4.4500,4.4900,66097613,296044014.1600,0.447400
2023-02-07,sh.600028,4.4900,4.5200,4.4800,4.5000,58848224,265097735.1300,0.222700
2023-02-08,sh.600028,4.5200,4.5500,4.5000,4.5100,68157337,308255013.0000,0.222200
2023-02-09,sh.600028,4.5100,4.5200,4.4900,4.5100,53135895,239378251.7500,0.000000
2023-02-10,sh.600028,4.5000,4.5100,4.4800,4.5000,63773713,286780129.2600,-0.221700
2023-02-13,sh.600028,4.5000,4.5100,4.4700,4.4900,83119053,373385591.4500,-0.222200
2023-02-14,sh.600028,4.4900,4.5200,4.4900,4.5100,65108551,293325313.8100,0.445400
2023-02-15,sh.600028,4.5100,4.5200,4.4900,4.5100,59122094,266271743.3200,0.000000
